유럽의약품안전청(EMA)도 코로나19 안전성 자료 검토에서 생리장애에 대해 논의한 바는 있으나 둘 사이의 인과성은 아직 밝혀지지 않았다 .	O O O O O O O O O O O O O O O O O
그러자면 어떻게 해야 할까?	O O O O
또 아스트라제네카와 얀센은 혈소판감소증 동반 혈전증(TTS), 길랭-바레 증후군(GBS) 등의 부작용이 나타날 수 있으므로 두통, 복시를 비롯한 시야의 문제, 호흡곤란, 흉통, 복통, 팔다리 부기, 얼굴의 창백함, 작은 멍, 비정상적 출혈 등의 증세가 생기면 응급실을 찾는 것이 좋다 .	O VACC-B VACC-B DIS-B DIS-I DIS-I DIS-B DIS-I O O O O O SYMP-B SYMP-B O O O SYMP-B SYMP-B SYMP-B O SYMP-B O O O O SYMP-B SYMP-I O O O O O O O O
그는 “알 수 없는 이유로 탈락했다”며 “연방 지원금은 통상 돈 많은 연구실로 간다 .	O O O O O O O O O O O O O O
정신만 멀쩡하고 온몸이 마비가 진행되는 무서운 병이다라며 재활병원에 6년 이상 근무했던 간호사로 이 질병을 많이 접했다 .	O O O O O O O O O O O O O O O O O
이 중 36명(86%)은 항염증제를 복용했다 .	O O O O O O
A 학생은 7일간 입원 후 퇴원했고, 심장 관련 검사를 받았지만 특이 사항은 발견되지 않았다 .	O O O O O O O O O O O O O O O
하나손해보험은 모두투어와 함께 백신을 접종하면 아나필락시스쇼크 보장보험 가입과 여행할인쿠폰을 제공하는 백(신)투더트립 이벤트를 진행한다 .	O O O O O DIS-B O O O O O O O O
하나는 폐동맥 혈전증, 심부정맥 혈전증 등과 같이 예방접종과 관련 없이 흔하게 발생하는 혈전증입니다 .	O O O O O O O O O O O O DIS-B O
이어 그는 나의 경우 혈액 검사 등 건강검진을 해봤지만 모두 건강하다는 결과를 받았다 .	O O O O O O O O O O O O O O
국내에서 접종한 고3 학생 86만9517명 가운데 26명이 심근염 심낭염 이상반응을 신고했고 검토 결과 15건만 실제 사례로 진단받았는데 이 중 5명은 중증이었다 .	O O O O O O O DIS-B DIS-B O O O O O O O O O O O O O
조 의원은 정부와 방역당국 관계자들은 백신 부작용이 단순한 불안감 조성이라고 가볍게 넘길 것이 아니라, 백신 신뢰도를 높임으로써 접종률을 높이는 것 또한 정부당국의 책무라는 점을 알아야 한다고 했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
백신의 부작용 여부는 효능과 관계없다는 의미다 .	O O O O O O O
◇ 최형진 아나운서(이하 최형진): 슬기로운 생활을 위한 “생활백서”, 알아둬야 손해 안보는 생활 법령을 알아봅니다 .	O O O O O O O O O O O O O O O
그러나 방귀나 트림이 잦아졌다는 주장은 일리가 있다 .	O O O O O O O O
유럽의약품청(EMA) 미국 제약사 화이자-독일 바이오엔테크, 모더나의 코로나 백신 부작용으로 드물게 심근염과 심낭염이 발생할 수 있다고 밝혔다 .	O O O VACC-B O VACC-B O O O O DIS-B DIS-B O O O O O
현재 카페 운영자인 A씨는 본인이 직접 부작용을 겪었다 .	O O O O O O O O O
한림대성심병원 호흡기내과 정기석 교수는 고령층에서는 독감이 치명적일 수 있으므로 백신은 꼭 맞아야 한다며 독감 백신은 백신 중에서도 부작용이 적은 백신이니 크게 우려하지 않아도 된다고 말했다	O O O O O O O O O O O O O O O O O O O O O O O O O
특히 보건교사들이 가장 걱정스럽다 .	O O O O O
◇ 최형진: 예방접종 피해보상 신청과 관련해서 더 알아두어야 할 점이 있을까요?	O O O O O O O O O O O
청원인에 따르면 그의 아버지 A씨는 8월 26일 오후 4시에 인천의 한 병원에서 화이자 1차 접종을 받았다 .	O O O O O O O O O O O O VACC-B O O O O
청원인은 여성들이 코로나19백신 접종후 생기주기가 아닌데도 부정출혈(하혈)이 발생하는 사례가 빈번히 발생하고 있다며 병원에 가면 피임약을 처방해주거나 타이레놀을 복용하라는 말만 들을 뿐 코로나19부작용으로 인정받기는 커녕 신고대상조차 되지 않아 할 수 없다는 것은 너무 답답한 일이라고 토로했다 .	O O O O O O SYMP-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
그렇지만 부작용과 인과관계가 없다고도 할 수 없기에 중증 환자라며 1000만원 지원을 해준다 했다고 분개했다 .	O O O O O O O O O O O O O O O
해당 증상이 나타난 백신 피접종자의 건강 상태는 양호하다 .	O O O O O O O O O
특히 일부 인터넷 사이트에서는 해당 학생이 백신 이상반응으로 치료를 받다가 결국 사망했다는 글까지 널리 공유되고 있다 .	O O O O O O O O O O O DIS-B O O O O O
응급으로 아나필락시스 진단을 받는 경우 일반 아나필락시스 쇼크 진단보다 보험료가 저렴하다 .	O DIS-B O O O O DIS-B O O O O O
이어 “우리나라처럼 감염위험이 낮은 곳에서도 코로나 감염 자체를 예방하는 효과와 이득을 본다면, 연락이 오면 어떤 백신이든 맞는 것이 가장 안전한 선택일 것”이라고 제언했다 .	O O O O O O O O O O O O O O O O O O O O O O O O
A씨는코로나19 확진 후 증상으로 발열과 삭신이 아픈 것을 언급했다 .	O O O O SYMP-B SYMP-B SYMP-I SYMP-I O O
화이자, 모더나 백신이 유발하는 심근염, 심낭염을 이부프로펜의 소염작용으로 예방해야 한단 설명이 일부 매체에서 소개된 것이 이부프로펜 선호 현상을 부추기고 있는 것이다 .	VACC-B VACC-B O O DIS-B DIS-B O O O O O O O O O O O O O O O O
이 보험은 6개월간 보장되며 쇼크로 진단받으면 최대 200만원까지 보장해준다 .	O O O O O O O O O O
백신 접종 후 부작용은 피할 수 없다 .	O O O O O O O O
또한 홍자는 지금은 2차를 맞은지 일주일 정도 되었어요 .	O O O O O O O O O
백신을 접종하면 면역 반응이 유도되는 과정에서 접종 부위의 통증, 열감과 같은 국소적 이상 반응이나 발열, 근육통과 같은 전신적 이상 반응이 나타날 수 있습니다 .	O O O O O O O O O O O O O O O O O O O O O O O O
백신 부작용으로 고통 받을 수 있는 또 다른 누군가를 위로하기 위해, 저희와 같은 일로 마음 아픈 분들이 생기지 않기를 바라며 청원을 올린다며 청원 글을 작성하게 된 계기를 밝혔다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
A. 김탁 교수: 발열, 근육통 등의 이상 반응은 예방접종의 종류, 접종자의 나이에 따라 빈도나 강도에 차이가 있으나 대부분 48~72시간 정도 지속되다가 없어집니다 .	O O O SYMP-B SYMP-B O O O O O O O O O O O O O O O O O O
정부 중앙방역대책본부는 지난 달 예방접종전문위원회(이하 예접위) 심의를 진행하고 1일 백신 접종에 대한 가이드라인을 제시했다 .	O O O O O O O O O O O O O O O
백신접종 후유증에 대한 대응을 보면 사람은 순서에도 들지 못하고 있는 게 현실이다 .	O O O O O O O O O O O O O
접종자들 웬만하면 안 만나려고 한다고 했다 .	O O O O O O O
사진 청와대 국민청원 이밖에70대 아버지가 백신 맞고 뇌경색으로 언어장애 마비 증상으로 입원했다 .	O O O O O O O DIS-B DIS-B O O O O
AZ 역시 “초기 진단과 치료법을 포함해 혈전증에 대한 다양한 연구가 진행하고 있다”라고 발표했다 .	VACC-B O O O O O DIS-B O O O O O O O
피해자 가족은 울분을 터트리고 있다 .	O O O O O O
최근 코로나19 백신 접종이 확대되면서 백신 부작용을 호소하는 청와대 국민청원이 늘어나고 있다 .	O O O O O O O O O O O O O
전문가들은 백신 접종으로 인한 부작용 사례가 있지만 여전히 백신의 이득이 부작용 피해보다 높다고 강조했다 .	O O O O O O O O O O O O O O O
이어 흉통이 소염진통제에 반응하지 않거나 심전도의 변화, 흉부 엑스레이 선상 심비대 또는 양측에 흉수가 찬 현상, Troponin 양성 혈역학적 이상 징후를 보일 시 심장전문의에게 전원을 결정해야 할 것으로 보인다라며 1차 백신 접종 후 심근염을 호소하는 경우 사례에 따라 다르겠지만 2차 접종을 늦추는 게 좋을 것 같다고 말했다 .	O SYMP-B O O O O O O O O SYMP-B O O SYMP-B SYMP-I O SYMP-B SYMP-I SYMP-B SYMP-I O O O O O O O O O O O O O DIS-B O O O O O O O O O O O O O O
김애련 약제관리실장은 “코로나19 백신 접종이 연일 증가하는 상황에서 국민 안전을 위해 통상적으로 80일 이상 소요되는 일반 약제 급여기준을 1일 만에 검토하고 신속히 급여기준을 설정해 국민이 염려하는 백신 부작용이 발생할 경우 의료현장에서 환자증상에 맞는 치료제를 적시에 투여 가능하도록 안전망을 확보했다는 점에서 의미가 크다”고 설명했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
한교협에 따르면 고3 연령대인 만18~24세 전세계 백신 완전 접종비율은 지난 16일 기준 헝가리 43.9%, 프랑스, 23.1%, 영국 18.2%, 미국 9.2%에 달한다 .	O O O O O O O O O O O O O O O O O O O O O O
자유로운 일상 회복을 향한 코로나19 백신 접종이 한창 진행 중이다 .	O O O O O O O O O O O
미국 국립보건원(NIH)이 코로나 백신과 생리불순 간 상관관계를 확인하기 위한 연구 프로젝트를 진행한다 .	O O O O SYMP-B O O O O O O O O
국내에서 바이러스 벡터(운반체) 방식 코로나19 백신의 부작용인 혈소판 감소증을 동반한 희귀 혈전 증상이 처음으로 나타났다 .	O O O O O O O SYMP-B SYMP-I O DIS-B DIS-I DIS-I O O O
이 밖에도 아스트라제네카(AZ) 백신 접종 후 50일 넘게 생리를 하지 않았다 거나 70대 여성이 백신 접종 후 하혈을 했다는 등의 증언도 나왔다 .	O O VACC-B O O O O O O O O O O O O O O SYMP-B O O O O O
A씨는 (카페를 보면) 이렇게나 많은 사람들이 고통을 받고 있는데 부작용을 인정받은 사람은 거의 없다 .	O O O O O O O O O O O O O O O
어떤 백신 맞은 사람 옆에 가면 느껴지는지”라고 질문하며 글을 올렸다 .	O O O O O O O O O O O
통증 조절도 중요한 치료 중 하나이다 .	O O O O O O O
납득할만한 설명이나 해결책을 내놓는 대신 불합리하게 바뀐 기준을 정당화하려는 것은 아닌지 의심된다 .	O O O O O O O O O O O O O
맞는 즉시 다 퍼지기 때문”이라고 밝혔다 .	O O O O O O O
◇ 최형진: 오늘도 사연부터 만나보죠. ‘코로나19 예방접종이 연령대별로 진행되고 있는데요 .	O O O O O O O O O O O
5일 보험업계에 따르면, 현재 삼성화재 아나필락시스 진단 보험 배타적사용권이 끝난 7월 KB손해보험, 현대해상, 하나손해보험, 캐롯손해보험, 흥국화재, 한화손해보험, 교보라이프플래닛, 라이나생명이 코로나 백신 부작용 보험 상품인 아나필락시스 보장 보험 또는 관련 특약을 출시했다 .	O O O O O DIS-B O O O O O O O O O O O O O O O O O O DIS-B O O O O O O O
유사한 서비스를 제공 중인 타 플랫폼과 달리, 보험 가입시 별도 가입 심사를 거치지 않는다 .	O O O O O O O O O O O O O O O
그런데 접종 9일 만에 혈소판 감소, 백혈구 증가라는 의사의 말을 들었다며 한 대학병원에서 재검사를 받았는데 급성 골수염 백혈병이라는 판정을 받았다 .	O O O O O O O O O O O O O O O DIS-B DIS-I DIS-I O O O
그러면서 “병원에서 발부한 사망진단서에는 사망원인 미상으로 나왔다”며 “국과수 부검 결과 1차 소견에는 코로나 백신 관련 아무런 이상이 없고, 최종 부검 결과는 두 달 정도 걸린다 한다”고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
13일 청와대 국민청원 게시판에 따르면 지난 11일 게시판에는 코로나 백신 부작용 때문에 횡단성 척수염 진단받으셨습니다라는 제목의 청원글이 게재됐다 .	O O O O O O O O O O O O DIS-B DIS-I O O O O O
보험료는 보장금액을 100만원으로 설정했을 때 월 157원 가량이다 .	O O O O O O O O O
이같은 정부 결정에 일부 학부모들은 코로나19 백신 접종에 대한 걱정과 부작용에 대해 우려를 나타내고 있다 .	O O O O O O O O O O O O O O O O
또 확인 사례에서 대부분은 16세 이상 남성 청소년 및 젊은 성인에서 발생했으며, 1회차 접종보다 2회차 접종 후 더 자주 발생했고, 일반적으로 백신 접종 후 며칠 이내 발생했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
그래서인지 더욱더 국민청원에 성토 글이 올라오는 것 같다고 덧붙였다 .	O O O O O O O O O O
올해 7월 아스트라제네카 백신으로 1차 접종을 한 A씨는 2차 접종 5시간 뒤부터 식은땀, 복통, 설사와 구토를 하는 등 이상 반응을 보였다 .	O O VACC-B O O O O O O O O O SYMP-B SYMP-B SYMP-B SYMP-B O O O O O O
28일 더불어민주당 신현영 의원이 질병관리청에서 제출받아 공개한 자료에 따르면 지난 19일부터 25일까지 코로나 백신 이상 반응 신고 중 712건이 부정출혈 생리불순으로 집계됐다 .	O O O O O O O O O O O O O O O O O O O SYMP-B SYMP-B O O
국민청원 게시판에는 지난 18일 ‘23살 외동아들이 화이자 2차 백신 맞고 이틀 만에 사망하였습니다’라는 제목의 글이 올라왔다 .	O O O O O O VACC-B O O O O O O O O O O
한편, 질병청에서는 현재 심근염 심낭염 사례 심층분석 보고체계 구축 건의에 따라 관련 연구를 진행 중으로, 올해 연말까지 임상 데이터 분석 결과를 공개할 계획이다 .	O O O DIS-B DIS-B O O O O O O O O O O O O O O O O O O O
코로나 백신 부작용이 심심치 않게 보도되고 있다 .	O O O O O O O O
청와대 국민청원 게시판 캡쳐화면. 이에 따라 이들은 청와대 국민청원 게시판에도 백신 부작용에 대해 목소리를 높이고 있다 .	O O O O O O O O O O O O O O O O O
지금부터라도 실천하는 지혜를 모아야 할 때다 .	O O O O O O O
그는 이어 아버지께서 백신접종 이후 너무나 급작스럽게 저희를 떠난 이유가 의문스러운 상황이라며 백신 부작용에 대해 인과관계를 명백하게 밝혀 진상규명이 되기를 바란다 .	O O O O O O O O O O O O O O O O O O O O O O
최근 코로나19 예방접종 종류 중 모더나 백신을 접종한 후에 혈전 증상이 발생한 20대가 질병관리청에 혈소판감소성 혈전증 검사를 요청했으나 질병관리청은 세계보건기구(WHO)에서 혈전 증상을 모더나 백신 부작용으로 인정하지 않는 점을 근거로 검사를 거절했다 .	O O O O O VACC-B O O O DIS-B O O O O DIS-B DIS-B O O O O DIS-B O VACC-B O O O O O O O O O
그뿐 아니라 “백신 접종자는 모기에 덜 물리는 것 같다”, “백신 접종자는 헌혈도 안 받아준다고 들었다”, “모기가 백신 접종자를 물면 피가 독해서 힘든 거냐”는 등 사실 확인이 안 된 주장을 펼치기도 해 혼란을 야기했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
우리가 관리하고 소중히 다루지 않으면 지속 가능하지 않다는 얘기다 .	O O O O O O O O O O
그러면서 계속 괜찮기를 바라며~아직 백신 대기중이신 인친들 화이팅 하시구!!	O O O O O O O O O
DB손해보험은 8월에 상품을 출시할 예정이다 .	O O O O O O
이어 최 교수는 또 백신 별로 접종 기간을 나눠 놓으면 오히려 접종률이 떨어진다는 점도 고려됐을 것이라며 코로나 백신의 경우 전국민이 대상이라고 했을 때 한번 백신을 맞기 위해 이동하는 비용이나 의료 접근성을 생각해보면 접종 시기를 놓치는 경우도 발생 할 수 있다고 설명했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
정은경 방대본부장은 이번 사례에 대해 피해보상 절차를 거쳐서 신속한 보상이 이뤄질 것이라며 혈소판 감소성 혈전증은 조기 발견하고 적절히 치료하면 회복 가능한 질환이라고 밝혔다 .	O O O O O O O O O O O O DIS-B DIS-I DIS-I O O O O O O O O O
황 교수는 WHO (백신 효과) 권고 기준은 50% 이상이라고 덧붙였다 .	O O O O O O O O O O O
참으로 이상한 부작용이 다 있습니다 .	O O O O O O
망막정맥폐쇄증은 굵은 정맥이 막히는 중심망막정맥폐쇄증과 상대적으로 가는 정맥이 막히는 분지망막정맥 폐쇄증이 있다 .	DIS-B O O O DIS-B O O O O DIS-B DIS-I O O
일반 이상 반응인 주사 맞은 부위의 통증과 불편함을 줄이려면 깨끗한 수건을 차갑게 적셔 해당 부위에 덮어 주며, 근육통이 있을 경우 해열제를 복용한다 .	O O O O O O O O O O O O O O O O O SYMP-B O O O O O
다만 열은 화이자 백신 접종자(19%)보다 아스트라제네카 백신 접종자(36%)에게서 더 흔했다 .	O SYMP-B VACC-B O O VACC-B O O O O O
이어 “백신을 맞고 별 증상이 없다고 해서 백신 효과가 없을 것이라 걱정할 필요는 없다”며 “코로나19 백신 접종 후 발열, 근육통 등의 부작용 발생 시 우려하지 말고 타이레놀 등 해열제를 복용할 것”을 권했다 .	O O O O O O O O O O O O O O O O O O SYMP-B SYMP-B O O O O O O O O O O O O O
임신한 브라질 여성이 화이자 코로나 백신을 맞고 있다 .	O O O VACC-B O O O O O
예방접종피해보상 전문위원회는 지난달 29일 제4차 코로나19 예방접종피해보상 전문위원회(이하 보상위원회)를 열고 코로나19 예방접종 후 이상반응으로 피해보상을 신청한291건 중 172건에 대해 보상을 결정했다고 1일 밝혔다 .	O O O O O O O O O O O O O O O O O O O O O O O O
정부의 이번 결정을 두고 전문가들은 큰 문제가 없다는 판단을 내리고 있다. 고대안암병원 최영준 교수(소아감염)는 보통 다른 백신의 사례를 보면 동시에 접종하는 경우가 많고 소아의 경우도 하루에 6~7개의 백신을 같은 날 접종한다며 원칙에 무리가 있는 결정은 아니고 접종 효율 측면에서도 맞다고 생각한다고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
올해 3월 최초 출시 후 현재까지 계약이 체결된 건은 약 20만 건으로 집계됐다 .	O O O O O O O O O O O O O O
백신 공포는 계속해서 확산하고 있다 .	O O O O O O
화이자접종 후 엄마가 벙어리가 됐어요. 오늘도 청와대 국민청원 게시판에는 코로나 백신 부작용을 호소하는 사례들이 몇 건씩이나 올라오고 있다 .	VACC-B O O SYMP-B O O O O O O O O O O O O O O O
이미 의료비 지원을 신청한 경우에도 소급해 적용된다 .	O O O O O O O O
한편 지난 24일 청와대 국민청원 게시판에는 건강하던 50대 가장이 모더나 백신을 맞고 급성골수성백혈병 진단을 받은 후 20일 만에 사망했다는 제목의 청원 글이 올라왔다 .	O O O O O O O O O VACC-B O O DIS-B O O O O O O O O O O O
이어 앞으로도 코로나19와 관련한 이상반응 감시 및 신속 치료를 위한 국민의료 안전망 확보를 위해 최선의 노력을 다하겠다고 전했다 .	O O O O O O O O O O O O O O O O O O O
김탁 교수는 감염내과 전문의이며 순천향대학교 부속 부천병원에서 감염병, 원인불명열, 성인 예방접종 등을 전문으로 진료한다 .	O O O O O O O O O O O O O O O
방역당국의 말과 달리 화이자 접종 후 심근염 심낭염이 발생하는 사례도 이어지고 있다 .	O O O VACC-B O O DIS-B DIS-B O O O O O
그런 반면 아스트라제네카는 발열이 대표적 부작용이며, 1차 접종 때가 2차 접종 때보다 부작용이 더 심한 게 특징이다 .	O O VACC-B SYMP-B O O O O O O O O O O O O O O
■ 코로나19 백신 부작용은 또 뭐가 있을까? 모더나 백신 후유증 탈모가 심각합니다.’ 어제(7일) 오전 청와대 국민청원 게시판에 올라온 글입니다 .	O O O O O O O VACC-B O O DIS-B O O O O O O O O O
대한감염학회, 대한의료관련감염관리학회 등에서 활동하고 있다 .	O O O O O O
이들은 이 카페에서 동일한 증상을 겪는 이를 찾아 치료 후기 등을 나누고, 병원이나 당국의 대처를 공유하고 있다 .	O O O O O O O O O O O O O O O O O O
또 백신 부작용, 이상 반응에 따른 병가 사용과 학사 운영에 대해 명확히 안내하고 추가적인 지원방안 마련에 나서야 한다”고 주장했다 .	O O O O O O O O O O O O O O O O O O O O
아나필릭시스 쇼크는 특정 항원에 반응하는 급성 전신 알레르기 질환으로, 원인에 노출된 후 대개 30분 이내에 호흡기·순환기 증상이 나타난다 .	DIS-B DIS-I O O O O O O O O O O O O O SYMP-B SYMP-I O O
정부가 코로나19(COVID-19) 백신 접종 이후 이상반응으로 피해보상을 신청한 사례 172건에 대해 보상하기로 결정했다 .	O O O O O O O O O O O O O O
인과성 인정 범위 관련한 규정은 담지 않았지만 대통령령으로 보상 질병과 기준, 절차 등을 정하도록 위임함으로써 유연하게 적용할 수 있도록 했다 .	O O O O O O O O O O O O O O O O O O O O O
사실상 사용이 불가능하기 때문이다 .	O O O O O
오늘 함께할 법제처의 김유미 사무관 연결 돼있습니다 .	O O O O O O O O
한편 접종 부위에 발열, 통증 등 증상이 나타났다면 질병관리청이 추천하는 방법으로 대처해 나가야 한다 .	O O O SYMP-B SYMP-B O O O O O O O O O O
쉐딩 현상은 코로나 19 백신 접종자들이 바이러스 입자를 방출해 미접종자에게 가려움증이나 염증, 두통 등을 유발한다는 일부 백신 미접종자의 주장이다 .	O O O O O O O O O O O O SYMP-B O O O O O O O
22일 청와대 국민청원 게시판에는 ‘23살 외동아들이 화이자 2차 백신 맞고 2일 만에 사망하였습니다’라는 제목의 글이 게시돼 있다 .	O O O O O O VACC-B O O O O O DIS-B O O O O O
맥매스터대 연구진은 이번에 이를 실제 환자에서 확인한 것이다 .	O O O O O O O O O
신 의원은 “코로나19 백신은 초유의 감염병 재난상황을 극복하고자 신속하게 심사해 허가한 의약품으로 이상반응 입증이 어려운 의학적 그레이존이 존재할 수밖에 없다”며 “백신 접종 후 이상반응에 대한 보상을 함에 있어 모든 가능성을 열어 두고 보다 선제적 조치를 할 필요가 있다”고 설명했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
특히 일각에서는 백신 접종에 대한 거부감 등을 줄이기 위해 정부가 접종 후 이상반응에 따른 피해 보상을 적극적으로 해줘야 한다는 의견도 나오고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O
질환 치료에 필요한 면역글로불린주사제(Human Immunoglobulin G 주)는 이미 일부 질환에 대해 건강보험 적용을 받고 있지만 아직 혈소판감소성 혈전증에는 적용 받지 못했던 약제다 .	O O O O O O O O O O O O O O O O DIS-B DIS-I O O O O O
사실상 백신보험에 가입하려다 의도치않게 업체에 개인정보를 제공할 수 있다는 우려가 나온다 .	O O O O O O O O O O O O
우리 국민이 지금처럼 적극적으로 접종을 받도록 하기 위해서는 백신 이상 반응을 잘 관리해야 한다 .	O O O O O O O O O O O O O O O
선진국은 코로나19 백신 접종 후 심각한 이상 반응이 발생하면 백신과의 인과성을 밝히려고 노력하고 있다 .	O O O O O O O O O O O O O O O
연합뉴스 해외 사례 “몇 년간 생리 하지 않았다가 백신 접종 후 출혈” 앞서 해외에서도 백신 접종 초기부터 생리 주기가 뒤바뀌거나 생리 양이 눈에 띄게 늘거나 주는 등 이상 반응을 겪었다는 여성들의 증언이 잇따랐다 .	O O O O O O O O O O O SYMP-B O O O O O O O O O O O O O O O O O O O O O O
김 교수는 심근염을 진단할 시 심근 효소(Troponin I 또는 T) 상승 ST분절 이상 부정맥 등 심전도 심장박동 모니터링 이상 국소적 또는 전반적인 벽운동 이상 심초음파상 심실 비후 등 심초음파 이상 시 MRI 또는 심근조직 검사로 심근염을 확진해야 한다며 백신 접종 후 수일 내 없었던 흉통을 앓는 사람들이 오게 되면 ECG, Troponin, CRP, ESR, Echo, MRI, PCR 등을 진행하고 보존적 치료를 통해 NSAIDs를 사용하고 심한 경우 스테로이드, 아스피린, IV IG 등을 사용하면 된다고 설명했다 .	O O DIS-B O O SYMP-B O O O SYMP-I SYMP-I SYMP-B SYMP-I SYMP-B O SYMP-B SYMP-I SYMP-I SYMP-I O O O SYMP-B SYMP-I O SYMP-B SYMP-I O SYMP-B SYMP-I O O O O O DIS-B O O O O O O O O SYMP-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이와 관련 미국 질병통제예방센터(CDC)도 백신이 여성의 생리에 영향을 미칠 수 있는지 조사했고, 백신 접종으로 불규칙한 생리 이상의 부작용은 걱정할 필요가 없다고 결론냈다 .	O O O O O O O O O O O O O O SYMP-B SYMP-I O O O O O O O
또한 유족은 백신 접종 후 이상 반응이 있을 수도 있는데 아버지가 통증을 호소하며 보건지소에 찾아갔을 때 의사는 없었다며 백신 주사만 놔주고 너무 무책임한 것 아니냐고 분통을 터뜨렸다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
심근염의 첫 증상은 열, 오한, 근육통, 피로, 구토 등과 같은 감기 증상이다 .	O O O O O O O SYMP-B O O O O O
사실상 인과성이 인정되는 심각한 부작용은 아나필락시스와 아스트라제네카 백신의 희귀 혈전증뿐이다 .	O O O O O DIS-B VACC-B O DIS-B DIS-I O
연합뉴스 ▲ 임신한 브라질 여성이 화이자 코로나 백신을 맞고 있다 .	O O O O O VACC-B O O O O O
앞서 일본의 20대 여성도 지난 6월 모더나 백신 1차 접종 뒤 머리가 빠지기 시작해 신생아 수준으로 머리카락이 거의 다 빠졌다고 밝힌 바 있습니다 .	O O O O O O VACC-B O O O O O O O O O O O O O O O O O
그런데 우리는 다른 나라에서 인과성을 밝히면 그때 가서 부작용으로 인정하겠다는 안이한 방식을 취하고 있다 .	O O O O O O O O O O O O O O O
만약 코로나19 예방접종 후에 이상반응이 나타날 경우 보상받을 수 있는 근거 법령이 있나요?‘ 이번주 월요일부터 18~49세 청장년층 대상으로 코로나19 예방접종 사전예약이 됐습니다 .	O O O O O O O O O O O O O O O O O O O O O O O
이번에 보상이 결정된 172건은 예방접종 후 발열, 두통, 근육통, 어지럼증, 알레르기 반응 등 이상반응으로 치료를 받은 사례 등이다 .	O O O O O O SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B O O O O O O O
너무나 아프고 안타깝고 억울한 마음이 하해와 같다”며 “무슨말을 어떻게 해야할지 막막하지만 한마디 하고자 한다”고 글을 써내려갔다 .	O O O O O O O O O O O O O O O O O
예방접종 후 이상반응이 의심되는 경우엔 예방접종도우미 누리집을 통해 이상반응을 체크하고, 대응방법을 안내받을 수 있다 .	O O O O O O O O O O O O O O O
단, 이러한 보상은 법 제71조제2항에 따라 국가로부터 피해를 인정을 받아야만 보상받을 수 있는데요 .	O O O O O O O O O O O O O O
병원의 과실이라면 병원에 응당한 책임을 지게 해달라고 호소했다 .	O O O O O O O O O
특히, 오늘 아침도 그랬습니다 .	O O O O O
미국 식품의약국(FDA)에서는 최근 “m-RNA 백신의 성분 가운데 폴리에틸렌 글리콜이 헛배, 설사, 구역질, 가스 차는 증세, 근육의 쥐, 피부 두드러기 등의 부작용을 유발할 수 있다”고 밝혔다 .	O O O VACC-B O O O O O SYMP-B SYMP-B SYMP-B SYMP-B O O O SYMP-B O SYMP-B O O O O O O O
정부는 백신을 처음 도입할 때 부작용에 대해서는 국가가 책임지겠다고 한 말에 대해 약속을 지켜야 한다 .	O O O O O O O O O O O O O O O O
이러한 상황을 가까이에서 보는 이들은 백신 접종에 대한 두려움과 망설임이 생길 수밖에 없지 않느냐는 지적과 함께다. © News1 이지원 디자이너 당장 지난 9일부터 시작된 만 18~49세의 예방접종 사전예약률은 전체 목표치인 70%보다 미달인 상태다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
미세먼지, 미세플라스틱, 유해화학물질, 기후변화는 인류가 저질러 놓은 범죄다 .	O O O O O O O O O
병원에선 간질중첩증이란 진단을 받았고 4개월이 넘은 지금까지도 노갑영씨는 눈을 뜨지 못하고 있다 .	O DIS-B O O O O O O O O O O O
모더나는 8월 예정된 물량 850만회분의 절반 이하만 공급하겠다고 밝혔으나 우리 정부의 항의 방문 이후 당초 통보한 것보다 많은 701만회분을 다음 주까지 2주간 공급하기로 했다 .	VACC-B O O O O O O O O O O O O O O O O O O O O O O O O
해당 보험은 소위 ‘백신보험’이라는 명칭으로 홍보되고 있어 백신접종으로 인한 모든 부작용을 보장하는 것으로 오인할 우려가 있다는 것이다 .	O O O O O O O O O O O O O O O O O O
이어 “백신 안전성과 관련해서는 주무 부처인 식품의약품안전처에도 백신접종 이후 백혈병과 관련한 해외사례 또는 제약사에서 백신 판매 이후 정보를 수집한 내용이 있는지 확인을 요청했다”면서 “내일(2일) 브리핑에서 식약처 답변이 있으면 설명하겠다”고 덧붙였다 .	O O O O O O O O O DIS-B O O O O O O O O O O O O O O O O O O O O O
